               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.014603,           0.0060634,                   0,             0.99955,             0.99971,             0.99916,             0.74705,             0.01796,           0.0079856,                   0,           0.0072758,           0.0072758,           0.0072758
                 121,             0.01458,           0.0060521,                   0,             0.99958,             0.99972,             0.99908,             0.74713,            0.017949,           0.0079832,                   0,           0.0072361,           0.0072361,           0.0072361
                 122,            0.014552,           0.0060577,                   0,             0.99951,             0.99974,             0.99911,               0.747,            0.017957,            0.007985,                   0,           0.0071962,           0.0071962,           0.0071962
                 123,            0.014564,           0.0060554,                   0,             0.99953,             0.99972,              0.9991,             0.74701,            0.017957,           0.0079868,                   0,           0.0071561,           0.0071561,           0.0071561
                 124,            0.014528,           0.0060506,                   0,             0.99953,             0.99974,              0.9991,             0.74699,            0.017954,           0.0079857,                   0,            0.007116,            0.007116,            0.007116
                 125,             0.01455,           0.0060458,                   0,             0.99959,             0.99973,             0.99918,             0.74707,            0.017951,           0.0079848,                   0,           0.0070757,           0.0070757,           0.0070757
                 126,             0.01455,           0.0060438,                   0,             0.99962,             0.99974,             0.99916,             0.74702,             0.01795,           0.0079866,                   0,           0.0070353,           0.0070353,           0.0070353
                 127,            0.014537,           0.0060443,                   0,             0.99962,             0.99973,             0.99918,             0.74732,            0.017947,            0.007985,                   0,           0.0069948,           0.0069948,           0.0069948
                 128,            0.014515,           0.0060204,                   0,             0.99955,             0.99975,             0.99919,             0.74732,            0.017938,           0.0079823,                   0,           0.0069541,           0.0069541,           0.0069541
                 129,            0.014509,           0.0060185,                   0,             0.99961,             0.99973,             0.99924,             0.74747,            0.017937,           0.0079793,                   0,           0.0069134,           0.0069134,           0.0069134
                 130,            0.014494,           0.0060303,                   0,             0.99958,             0.99973,             0.99921,             0.74767,            0.017938,           0.0079766,                   0,           0.0068726,           0.0068726,           0.0068726
                 131,            0.014479,           0.0060163,                   0,             0.99955,             0.99973,             0.99926,             0.74778,            0.017934,           0.0079752,                   0,           0.0068316,           0.0068316,           0.0068316
                 132,            0.014468,           0.0060023,                   0,             0.99956,             0.99974,             0.99921,             0.74797,            0.017936,           0.0079797,                   0,           0.0067906,           0.0067906,           0.0067906
                 133,            0.014482,           0.0060195,                   0,             0.99956,             0.99973,             0.99922,             0.74766,            0.017939,           0.0079807,                   0,           0.0067495,           0.0067495,           0.0067495
                 134,            0.014474,           0.0060081,                   0,             0.99957,             0.99973,             0.99922,             0.74729,            0.017941,           0.0079819,                   0,           0.0067083,           0.0067083,           0.0067083
                 135,            0.014446,           0.0060004,                   0,             0.99956,             0.99972,             0.99925,             0.74761,            0.017936,           0.0079815,                   0,           0.0066671,           0.0066671,           0.0066671
                 136,             0.01446,           0.0060112,                   0,             0.99955,             0.99975,             0.99926,             0.74785,            0.017929,           0.0079805,                   0,           0.0066257,           0.0066257,           0.0066257
                 137,            0.014415,           0.0060046,                   0,             0.99957,             0.99973,             0.99926,             0.74815,            0.017921,           0.0079797,                   0,           0.0065843,           0.0065843,           0.0065843
                 138,            0.014426,           0.0060146,                   0,             0.99957,             0.99969,             0.99924,             0.74798,            0.017925,            0.007982,                   0,           0.0065429,           0.0065429,           0.0065429
                 139,            0.014445,           0.0060133,                   0,             0.99951,             0.99972,             0.99925,             0.74802,            0.017928,           0.0079783,                   0,           0.0065013,           0.0065013,           0.0065013
                 140,            0.014424,           0.0060044,                   0,             0.99958,             0.99971,             0.99928,             0.74814,            0.017921,           0.0079765,                   0,           0.0064597,           0.0064597,           0.0064597
                 141,            0.014406,           0.0060068,                   0,             0.99957,              0.9997,             0.99923,             0.74883,            0.017901,            0.007969,                   0,           0.0064181,           0.0064181,           0.0064181
                 142,            0.014412,           0.0059995,                   0,             0.99957,             0.99971,             0.99924,             0.74927,            0.017888,           0.0079619,                   0,           0.0063764,           0.0063764,           0.0063764
                 143,            0.014382,           0.0059932,                   0,              0.9996,              0.9997,             0.99925,             0.74904,            0.017901,            0.007964,                   0,           0.0063347,           0.0063347,           0.0063347
                 144,            0.014367,           0.0059678,                   0,             0.99959,             0.99971,             0.99924,             0.74899,              0.0179,           0.0079669,                   0,            0.006293,            0.006293,            0.006293
                 145,             0.01439,           0.0060019,                   0,             0.99961,             0.99972,             0.99927,             0.74892,            0.017897,           0.0079659,                   0,           0.0062512,           0.0062512,           0.0062512
                 146,            0.014355,           0.0059769,                   0,             0.99954,             0.99973,             0.99926,             0.74916,            0.017891,           0.0079678,                   0,           0.0062093,           0.0062093,           0.0062093
                 147,            0.014331,            0.005971,                   0,             0.99955,             0.99975,              0.9993,             0.74881,            0.017904,           0.0079681,                   0,           0.0061675,           0.0061675,           0.0061675
                 148,            0.014325,           0.0059759,                   0,             0.99953,             0.99975,             0.99927,             0.74852,            0.017912,           0.0079716,                   0,           0.0061256,           0.0061256,           0.0061256
