               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.017355,           0.0051364,                   0,             0.99958,             0.99982,             0.99874,             0.73754,            0.018811,           0.0053936,                   0,           0.0086137,           0.0086137,           0.0086137
                  84,            0.017371,           0.0051425,                   0,             0.99952,             0.99987,             0.99869,             0.73784,            0.018812,           0.0053948,                   0,           0.0085818,           0.0085818,           0.0085818
                  85,            0.017365,           0.0051454,                   0,             0.99958,             0.99983,             0.99857,             0.73728,            0.018817,           0.0053958,                   0,           0.0085497,           0.0085497,           0.0085497
                  86,            0.017349,           0.0051446,                   0,             0.99961,             0.99984,             0.99835,             0.73734,            0.018804,           0.0053958,                   0,           0.0085173,           0.0085173,           0.0085173
                  87,            0.017364,           0.0051551,                   0,              0.9996,             0.99985,             0.99832,             0.73647,            0.018815,           0.0053978,                   0,           0.0084846,           0.0084846,           0.0084846
                  88,            0.017342,           0.0051244,                   0,             0.99961,             0.99985,             0.99828,             0.73636,            0.018823,           0.0053983,                   0,           0.0084516,           0.0084516,           0.0084516
                  89,            0.017299,           0.0051311,                   0,             0.99957,             0.99986,             0.99827,             0.73648,            0.018815,           0.0053963,                   0,           0.0084184,           0.0084184,           0.0084184
                  90,            0.017334,           0.0051307,                   0,             0.99953,             0.99988,             0.99825,             0.73691,            0.018809,           0.0053962,                   0,           0.0083849,           0.0083849,           0.0083849
                  91,            0.017325,             0.00514,                   0,             0.99956,             0.99985,             0.99827,             0.73677,            0.018809,           0.0053949,                   0,           0.0083511,           0.0083511,           0.0083511
                  92,            0.017297,           0.0051316,                   0,              0.9995,             0.99984,             0.99823,             0.73745,            0.018795,           0.0053926,                   0,           0.0083171,           0.0083171,           0.0083171
                  93,            0.017299,           0.0051263,                   0,             0.99956,             0.99981,             0.99827,             0.73813,            0.018785,           0.0053906,                   0,           0.0082829,           0.0082829,           0.0082829
                  94,            0.017293,           0.0051277,                   0,             0.99962,              0.9998,             0.99832,             0.73793,            0.018783,           0.0053904,                   0,           0.0082483,           0.0082483,           0.0082483
                  95,            0.017283,           0.0051171,                   0,             0.99961,             0.99982,              0.9984,             0.73791,            0.018782,           0.0053892,                   0,           0.0082136,           0.0082136,           0.0082136
                  96,            0.017256,           0.0051144,                   0,             0.99956,             0.99984,             0.99851,             0.73828,            0.018782,           0.0053877,                   0,           0.0081786,           0.0081786,           0.0081786
                  97,            0.017248,           0.0051222,                   0,             0.99954,             0.99984,             0.99847,             0.73801,            0.018781,           0.0053889,                   0,           0.0081433,           0.0081433,           0.0081433
                  98,            0.017245,           0.0051192,                   0,             0.99953,             0.99985,             0.99836,             0.73837,            0.018783,           0.0053897,                   0,           0.0081078,           0.0081078,           0.0081078
                  99,            0.017254,           0.0051171,                   0,             0.99955,             0.99978,             0.99834,             0.73802,            0.018784,           0.0053902,                   0,           0.0080721,           0.0080721,           0.0080721
                 100,            0.017184,           0.0051053,                   0,             0.99957,              0.9998,             0.99841,             0.73874,            0.018774,           0.0053887,                   0,           0.0080362,           0.0080362,           0.0080362
                 101,            0.017224,            0.005101,                   0,             0.99956,             0.99982,             0.99845,             0.73902,            0.018776,           0.0053887,                   0,               0.008,               0.008,               0.008
                 102,            0.017229,           0.0051075,                   0,             0.99959,             0.99983,             0.99855,             0.73853,            0.018784,           0.0053883,                   0,           0.0079636,           0.0079636,           0.0079636
                 103,            0.017191,           0.0051045,                   0,              0.9996,             0.99983,             0.99854,             0.73889,            0.018779,           0.0053874,                   0,            0.007927,            0.007927,            0.007927
                 104,            0.017214,           0.0051153,                   0,             0.99958,             0.99983,              0.9986,             0.73902,            0.018771,           0.0053865,                   0,           0.0078902,           0.0078902,           0.0078902
                 105,            0.017172,           0.0051047,                   0,             0.99961,             0.99977,             0.99864,             0.73897,            0.018775,           0.0053867,                   0,           0.0078532,           0.0078532,           0.0078532
                 106,            0.017173,           0.0051057,                   0,             0.99959,             0.99982,             0.99859,             0.73903,            0.018768,           0.0053857,                   0,            0.007816,            0.007816,            0.007816
                 107,             0.01714,           0.0051001,                   0,              0.9996,             0.99982,             0.99858,              0.7392,            0.018762,           0.0053823,                   0,           0.0077785,           0.0077785,           0.0077785
                 108,            0.017148,           0.0050863,                   0,             0.99959,             0.99981,              0.9986,             0.73887,            0.018762,           0.0053827,                   0,           0.0077409,           0.0077409,           0.0077409
                 109,            0.017159,           0.0050946,                   0,             0.99958,             0.99984,             0.99857,             0.73884,            0.018772,           0.0053848,                   0,           0.0077031,           0.0077031,           0.0077031
                 110,            0.017147,           0.0050919,                   0,              0.9996,             0.99983,             0.99856,             0.73868,            0.018774,           0.0053849,                   0,           0.0076651,           0.0076651,           0.0076651
                 111,            0.017137,           0.0050921,                   0,              0.9996,             0.99983,             0.99858,             0.73865,             0.01878,           0.0053853,                   0,           0.0076269,           0.0076269,           0.0076269
                 112,            0.017119,           0.0050827,                   0,              0.9996,             0.99983,             0.99859,             0.73857,             0.01878,            0.005385,                   0,           0.0075886,           0.0075886,           0.0075886
                 113,            0.017089,            0.005084,                   0,             0.99961,             0.99985,              0.9985,               0.739,            0.018773,           0.0053845,                   0,           0.0075501,           0.0075501,           0.0075501
                 114,            0.017099,           0.0050809,                   0,             0.99967,             0.99982,             0.99848,             0.73916,            0.018766,            0.005384,                   0,           0.0075114,           0.0075114,           0.0075114
                 115,            0.017085,           0.0050839,                   0,             0.99962,             0.99985,             0.99855,             0.73916,            0.018759,           0.0053835,                   0,           0.0074725,           0.0074725,           0.0074725
                 116,            0.017071,           0.0050738,                   0,              0.9996,             0.99983,              0.9986,             0.73913,            0.018755,           0.0053831,                   0,           0.0074335,           0.0074335,           0.0074335
                 117,            0.017057,           0.0050816,                   0,             0.99959,             0.99984,             0.99859,             0.73936,             0.01875,           0.0053827,                   0,           0.0073943,           0.0073943,           0.0073943
                 118,            0.017058,           0.0050627,                   0,              0.9996,             0.99984,             0.99865,             0.73927,            0.018747,           0.0053813,                   0,            0.007355,            0.007355,            0.007355
                 119,            0.017057,           0.0050745,                   0,             0.99961,             0.99981,             0.99859,             0.73936,            0.018745,           0.0053814,                   0,           0.0073155,           0.0073155,           0.0073155
                 120,            0.017038,           0.0050634,                   0,             0.99961,             0.99983,             0.99863,             0.73929,            0.018749,            0.005381,                   0,           0.0072758,           0.0072758,           0.0072758
                 121,            0.017015,            0.005068,                   0,              0.9996,             0.99982,             0.99858,             0.73879,            0.018753,           0.0053825,                   0,           0.0072361,           0.0072361,           0.0072361
                 122,            0.016986,           0.0050604,                   0,             0.99963,             0.99982,             0.99858,             0.73909,             0.01875,           0.0053822,                   0,           0.0071962,           0.0071962,           0.0071962
                 123,            0.016969,           0.0050472,                   0,             0.99962,             0.99985,             0.99857,             0.73957,            0.018743,           0.0053803,                   0,           0.0071561,           0.0071561,           0.0071561
                 124,            0.016989,           0.0050534,                   0,             0.99958,             0.99982,             0.99857,             0.73974,            0.018739,           0.0053793,                   0,            0.007116,            0.007116,            0.007116
                 125,            0.016979,           0.0050548,                   0,             0.99958,             0.99985,             0.99847,             0.74012,            0.018729,           0.0053784,                   0,           0.0070757,           0.0070757,           0.0070757
                 126,            0.016956,           0.0050481,                   0,              0.9996,             0.99985,             0.99859,                0.74,            0.018737,           0.0053775,                   0,           0.0070353,           0.0070353,           0.0070353
                 127,            0.016952,            0.005047,                   0,             0.99953,             0.99986,             0.99854,             0.73945,            0.018736,            0.005379,                   0,           0.0069948,           0.0069948,           0.0069948
                 128,            0.016956,           0.0050526,                   0,             0.99957,              0.9998,             0.99851,             0.73931,             0.01874,           0.0053806,                   0,           0.0069541,           0.0069541,           0.0069541
                 129,            0.016949,            0.005041,                   0,             0.99954,             0.99981,             0.99857,             0.73916,            0.018736,           0.0053787,                   0,           0.0069134,           0.0069134,           0.0069134
                 130,            0.016915,           0.0050295,                   0,             0.99962,              0.9998,             0.99861,             0.73908,            0.018725,           0.0053778,                   0,           0.0068726,           0.0068726,           0.0068726
                 131,              0.0169,           0.0050374,                   0,             0.99965,              0.9998,             0.99866,             0.73921,            0.018729,           0.0053785,                   0,           0.0068316,           0.0068316,           0.0068316
                 132,             0.01689,           0.0050293,                   0,              0.9996,             0.99983,             0.99864,             0.73931,            0.018736,           0.0053803,                   0,           0.0067906,           0.0067906,           0.0067906
                 133,            0.016889,           0.0050223,                   0,             0.99961,              0.9998,             0.99859,             0.73961,             0.01873,           0.0053793,                   0,           0.0067495,           0.0067495,           0.0067495
                 134,            0.016872,            0.005039,                   0,              0.9996,             0.99979,             0.99857,             0.74011,            0.018722,           0.0053782,                   0,           0.0067083,           0.0067083,           0.0067083
                 135,            0.016879,           0.0050358,                   0,             0.99961,             0.99978,             0.99856,             0.74005,            0.018717,           0.0053774,                   0,           0.0066671,           0.0066671,           0.0066671
                 136,            0.016831,           0.0050233,                   0,             0.99962,             0.99978,             0.99862,             0.73986,             0.01872,           0.0053761,                   0,           0.0066257,           0.0066257,           0.0066257
                 137,            0.016859,           0.0050273,                   0,             0.99966,             0.99977,              0.9987,             0.74015,            0.018712,           0.0053742,                   0,           0.0065843,           0.0065843,           0.0065843
                 138,             0.01684,           0.0050288,                   0,             0.99962,             0.99978,             0.99867,             0.74021,            0.018709,           0.0053747,                   0,           0.0065429,           0.0065429,           0.0065429
                 139,             0.01684,           0.0050148,                   0,             0.99961,             0.99979,             0.99863,             0.74003,            0.018708,           0.0053746,                   0,           0.0065013,           0.0065013,           0.0065013
                 140,            0.016812,           0.0050152,                   0,             0.99962,             0.99979,             0.99862,             0.74093,            0.018698,           0.0053716,                   0,           0.0064597,           0.0064597,           0.0064597
                 141,            0.016814,           0.0050229,                   0,             0.99955,             0.99989,             0.99864,             0.74017,            0.018697,           0.0053717,                   0,           0.0064181,           0.0064181,           0.0064181
                 142,            0.016801,           0.0050177,                   0,              0.9996,             0.99987,             0.99858,             0.73987,            0.018718,           0.0053743,                   0,           0.0063764,           0.0063764,           0.0063764
                 143,            0.016794,           0.0050077,                   0,             0.99965,             0.99984,             0.99858,             0.73994,            0.018729,           0.0053754,                   0,           0.0063347,           0.0063347,           0.0063347
                 144,              0.0168,           0.0050123,                   0,             0.99958,             0.99985,             0.99868,             0.74028,            0.018716,           0.0053743,                   0,            0.006293,            0.006293,            0.006293
                 145,            0.016779,           0.0050094,                   0,             0.99957,             0.99981,             0.99867,             0.74027,            0.018718,           0.0053747,                   0,           0.0062512,           0.0062512,           0.0062512
                 146,            0.016773,           0.0050019,                   0,             0.99954,             0.99984,             0.99867,             0.74058,            0.018707,           0.0053729,                   0,           0.0062093,           0.0062093,           0.0062093
